id,student_id,assignment_completion_rate,average_assignment_score,collegeboard_quiz_average,office_hours_visits,conduct,work_habit,github_contributions,final_grade
1,1942735,89.2,88.4,87.3,3,4,4,95,90
2,1967891,76.5,79.2,75.8,8,2,3,67,88
3,1923456,92.8,91.5,90.2,2,4,4,112,92
4,1978234,68.3,72.1,68.9,11,2,2,45,86
5,1934567,85.7,84.9,83.6,5,3,3,88,89
6,1956789,94.1,93.2,92.7,1,4,4,125,93
7,1945678,71.2,74.8,71.3,9,2,3,52,87
8,1989012,88.6,87.3,86.1,4,3,4,93,91
9,1912345,79.4,81.2,78.9,6,3,3,71,88
10,1965432,91.3,90.8,89.4,2,4,4,108,92
11,1943210,73.8,76.5,73.2,10,2,2,58,85
12,1987654,86.9,85.7,84.8,4,3,4,89,90
13,1954321,95.2,94.6,93.8,1,4,4,134,93
14,1976543,70.1,73.4,70.6,12,2,3,48,86
15,1932109,87.3,86.1,85.2,3,3,4,91,90
16,1969876,92.5,91.3,90.5,2,4,4,115,92
17,1941234,74.6,77.9,74.8,8,3,3,63,88
18,1983456,89.8,88.7,87.9,3,4,4,98,91
19,1955678,67.9,71.6,68.4,13,2,2,41,78
20,1927890,90.4,89.2,88.3,2,4,4,105,91
21,1971234,76.8,79.8,76.5,7,3,3,69,89
22,1946789,93.6,92.4,91.7,1,4,4,121,93
23,1984567,72.5,75.3,72.9,9,2,3,55,87
24,1938901,88.1,87.5,86.7,4,3,4,94,90
25,1962345,94.7,93.9,93.1,1,4,4,128,92
26,1949876,69.4,72.8,69.7,11,2,2,46,85
27,1975432,85.3,84.6,83.4,5,3,3,86,89
28,1931098,91.9,90.7,89.8,2,4,4,111,92
29,1968765,73.1,76.2,73.6,10,2,3,59,86
30,1942109,87.6,86.8,85.9,4,3,4,92,90
31,1986543,95.8,94.3,93.5,1,4,4,137,93
32,1953210,71.7,74.9,71.8,9,2,3,53,87
33,1977654,89.3,88.1,87.4,3,4,4,96,91
34,1935432,78.2,80.6,77.9,7,3,3,73,89
35,1964321,92.1,91.6,90.9,2,4,4,117,92
36,1948901,66.8,70.9,67.6,14,2,2,39,76
37,1981234,86.4,85.3,84.1,5,3,4,87,90
38,1956789,93.9,92.8,92.3,1,4,4,123,93
39,1929012,74.9,78.1,75.3,8,3,3,65,88
40,1972345,88.9,87.9,87.1,3,4,4,99,91
41,1945678,91.6,90.4,89.6,2,4,4,109,92
42,1987654,70.6,73.7,71.1,10,2,2,50,86
43,1954321,85.9,84.8,83.9,4,3,3,88,89
44,1976543,94.4,93.6,92.9,1,4,4,131,93
45,1932109,72.3,75.6,72.7,9,2,3,57,87
46,1969876,87.8,86.5,85.6,4,3,4,93,90
47,1941234,79.6,81.8,79.2,6,3,3,75,89
48,1983456,92.7,91.9,91.2,2,4,4,119,92
49,1955678,68.7,72.3,69.3,12,2,2,44,82
50,1927890,90.1,89.5,88.7,3,4,4,103,91
51,1971234,75.4,78.6,75.9,8,3,3,68,88
52,1946789,93.3,92.1,91.5,1,4,4,120,92
53,1984567,71.9,75.1,72.4,10,2,3,54,86
54,1938901,88.4,87.2,86.5,3,3,4,95,90
55,1962345,95.1,94.1,93.3,1,4,4,133,93
56,1949876,67.2,71.3,68.8,13,2,2,42,79
57,1975432,86.1,85.1,84.3,5,3,3,87,89
58,1931098,91.4,90.9,90.1,2,4,4,113,92
59,1968765,73.6,76.8,74.1,9,2,3,61,87
60,1942109,87.1,86.3,85.4,4,3,4,91,90
61,1986543,94.9,93.7,92.6,1,4,4,135,93
62,1953210,70.3,73.9,70.9,11,2,2,51,85
63,1977654,89.6,88.4,87.6,3,4,4,97,91
64,1935432,77.8,80.3,77.4,7,3,3,72,88
65,1964321,92.4,91.2,90.6,2,4,4,116,92
66,1948901,69.1,72.6,69.5,12,2,2,47,84
67,1981234,85.6,84.9,83.7,5,3,3,86,89
68,1956789,93.1,92.5,91.9,1,4,4,122,93
69,1929012,74.2,77.4,74.6,8,3,3,64,88
70,1972345,88.7,87.6,86.8,3,4,4,98,91
71,1945678,91.8,90.6,89.9,2,4,4,110,92
72,1987654,72.8,75.9,73.3,9,2,3,56,87
73,1954321,86.6,85.6,84.6,4,3,4,89,90
74,1976543,94.6,93.4,92.8,1,4,4,132,93
75,1932109,71.4,74.6,71.9,10,2,2,52,86
76,1969876,87.9,86.9,86.1,4,3,4,94,90
77,1941234,79.1,81.4,78.7,7,3,3,74,89
78,1983456,92.9,91.7,91.1,2,4,4,118,92
79,1955678,68.4,72.1,69.1,13,2,2,43,81
80,1927890,90.3,89.1,88.5,3,4,4,104,91
81,1971234,76.1,79.2,76.3,8,3,3,70,88
82,1946789,93.8,92.7,92.1,1,4,4,124,93
83,1984567,72.6,75.8,73.1,9,2,3,58,87
84,1938901,88.2,87.8,86.9,3,4,4,96,90
85,1962345,95.4,94.5,93.7,1,4,4,136,93
86,1949876,69.8,72.9,70.2,11,2,2,48,85
87,1975432,85.8,85.3,84.5,5,3,3,88,89
88,1931098,91.7,90.3,89.7,2,4,4,114,92
89,1968765,73.9,77.1,74.4,9,2,3,62,87
90,1942109,87.4,86.7,85.8,4,3,4,92,90
91,1986543,94.2,93.8,93.2,1,4,4,129,93
92,1953210,70.9,74.2,71.6,10,2,3,53,86
93,1977654,89.1,88.6,87.8,3,4,4,99,91
94,1935432,78.5,80.9,78.3,7,3,3,76,89
95,1964321,92.6,91.4,90.8,2,4,4,115,92
96,1948901,67.6,71.8,68.9,13,2,2,45,77
97,1981234,86.3,85.5,84.2,5,3,4,90,90
98,1956789,93.5,92.9,92.4,1,4,4,126,93
99,1929012,75.1,78.3,75.7,8,3,3,66,88
100,1972345,88.5,87.4,86.6,3,4,4,97,91